WorkDate,EmployeeCode,EmployeeName,Department,Status,WorkHours,OtHours
02-Feb-26,EMP-0010,Employee 10,Maint,PRESENT,8.0,0.0
02/02/2026,EMP-0008,Employee 8,LINE-C,LATE,7.5,1.3
02/04/2026,EMP-0008,Employee 8,LINE-C,LATE,7.0,1.3
02/07/2026,EMP-0011,Employee 11,line a,PRESENT,8.0,0.0
02/10/2026,EMP-0036,Employee 36,Line A,ABSENT,0.0,0.0
02/17/2026,EMP-0014,Employee 14,QC,PRESENT,8.0,0.0
02/20/2026,EMP-0008,Employee 8,line c,LATE,7.5,0.0
02/20/2026,EMP-0023,Employee 23,line c,PRESENT,8.0,0.0
02/21/2026,EMP-0036,Employee 36,Line A,LATE,7.0,0.0
02/23/2026,EMP-0012,Employee 12,line b,PRESENT,8.0,0.0
02/24/2026,EMP-0027,Employee 27,LINE-B,PRESENT,8.0,1.7
02/25/2026,EMP-0002,Employee 2,Line B,PRESENT,8.0,0.0
02/25/2026,EMP-0014,Employee 14,Q.C.,PRESENT,8.0,0.8
02/25/2026,EMP-0021,Employee 21,LINE-A,LATE,7.0,1.3
02/26/2026,EMP-0007,Employee 7,LINE-B,PRESENT,8.0,0.0
02/27/2026,EMP-0030,Employee 30,Maint,LATE,7.5,0.0
02/28/2026,EMP-0007,Employee 7,line b,PRESENT,8.0,0.0
02/28/2026,EMP-0013,Employee 13,LINE-C,PRESENT,8.0,0.0
03-Feb-26,EMP-0004,Employee 4,Q.C.,PRESENT,8.0,0.0
03-Feb-26,EMP-0033,Employee 33,line c,PRESENT,8.0,1.3
03/02/2026,EMP-0018,Employee 18,LINE-C,PRESENT,8.0,0.0
05-Feb-26,EMP-0007,Employee 7,line b,PRESENT,8.0,0.0
07-Feb-26,EMP-0036,Employee 36,Line A,PRESENT,8.0,0.0
09-Feb-26,EMP-0007,Employee 7,line b,ABSENT,0.0,0.0
09/02/2026,EMP-0002,Employee 2,line b,PRESENT,8.0,0.0
09/02/2026,EMP-0020,Employee 20,MA,PRESENT,8.0,0.0
10/02/2026,EMP-0013,Employee 13,LINE-C,PRESENT,8.0,1.7
11-Feb-26,EMP-0027,Employee 27,LINE-B,ABSENT,0.0,0.0
12-Feb-26,EMP-0028,Employee 28,line c,LATE,7.5,0.0
12-Feb-26,EMP-0034,Employee 34,Quality,PRESENT,8.0,0.0
13-Feb-26,EMP-0028,Employee 28,LINE-C,PRESENT,8.0,0.0
13/02/2026,EMP-0032,Employee 32,LINE-B,ABSENT,0.0,0.0
16/02/2026,EMP-0017,Employee 17,LINE-B,PRESENT,8.0,0.0
17-Feb-26,EMP-0026,Employee 26,line a,PRESENT,8.0,0.0
17-Feb-26,EMP-0035,Employee 35,MAINT,PRESENT,8.0,0.0
